А,1300
Б,1778
В,552
Г,1061
Д,809
Е,107
Ж,423
З,675
И,368
К,2447
Л,743
М,1370
Н,500
О,844
П,1886
Р,612
С,1915
Т,1062
У,288
Ф,204
Х,299
Ц,245
Ч,735
Ш,291
Щ,162
Э,238
Ю,148
Я,225
